Date,Well_ID,Latitude,Longitude,Groundwater_Level,Rainfall,Temperature,Soil_Moisture,pH,TDS,Fluoride,Nitrate,Chloride
2024-09-16,W-01,18.44719,73.61512,11.4,143.6,28.8,65,7.36,389,1.21,41,110
2024-09-23,W-01,18.44719,73.61512,11.87,188.6,28.2,77.4,7.37,390,1.22,41.3,105
2024-09-30,W-01,18.44719,73.61512,12.22,150,24.3,65,7.36,382,1.22,42.2,104
2024-10-07,W-01,18.44719,73.61512,12.21,23.7,16.1,30.8,7.37,382,1.23,41.6,105
2024-10-14,W-01,18.44719,73.61512,12.1,12.4,19.4,25.1,7.36,390,1.23,41.8,101
2024-10-21,W-01,18.44719,73.61512,12.01,16.9,15.3,27.7,7.34,392,1.21,41.1,100
2024-10-28,W-01,18.44719,73.61512,11.82,11.9,17.5,24.1,7.34,396,1.23,41.6,104
2024-11-04,W-01,18.44719,73.61512,11.7,11.3,21.4,27.1,7.32,402,1.21,41.9,104
2024-11-11,W-01,18.44719,73.61512,11.63,26,17.3,25.8,7.3,393,1.23,42.6,100
2024-11-18,W-01,18.44719,73.61512,11.54,8.1,21.1,24.1,7.28,388,1.25,42.4,104
2024-11-25,W-01,18.44719,73.61512,11.59,31.3,19.9,30.9,7.26,396,1.25,41.8,100
2024-12-02,W-01,18.44719,73.61512,11.52,11.2,19.7,20.3,7.27,400,1.26,42.7,96
2024-12-09,W-01,18.44719,73.61512,11.39,7.4,18.3,22.3,7.26,400,1.28,41.8,97
2024-12-16,W-01,18.44719,73.61512,11.34,34.4,22.4,28.1,7.27,408,1.26,41.9,97
2024-12-23,W-01,18.44719,73.61512,11.27,7.2,22.5,23.1,7.28,406,1.26,41.1,101
2024-12-30,W-01,18.44719,73.61512,11.19,28.4,17.4,31.7,7.29,408,1.25,41.3,97
2025-01-06,W-01,18.44719,73.61512,11.15,33.2,15.8,26.9,7.3,415,1.24,41.2,98
2025-01-13,W-01,18.44719,73.61512,11.02,16.5,15.8,21.7,7.33,410,1.24,40.9,101
2025-01-20,W-01,18.44719,73.61512,10.97,17.1,22,23.9,7.32,412,1.25,40.9,104
2025-01-27,W-01,18.44719,73.61512,10.92,31.4,20.3,26.7,7.35,418,1.23,40.2,105
2025-02-03,W-01,18.44719,73.61512,10.77,28.4,16,25.9,7.33,424,1.23,40.9,105
2025-02-10,W-01,18.44719,73.61512,10.56,15.2,15.8,27.3,7.3,427,1.24,40.7,109
2025-02-17,W-01,18.44719,73.61512,10.48,21.2,21,23.6,7.3,425,1.26,40.1,112
2025-02-24,W-01,18.44719,73.61512,10.46,5.6,17.8,23.8,7.29,421,1.24,39.9,110
2025-03-03,W-01,18.44719,73.61512,10.42,3.5,36.7,9.2,7.27,414,1.22,39.2,114
2025-03-10,W-01,18.44719,73.61512,10.28,0.2,34.8,6.4,7.28,424,1.22,39.8,113
2025-03-17,W-01,18.44719,73.61512,10.25,0.6,37.5,7.8,7.28,431,1.22,39,117
2025-03-24,W-01,18.44719,73.61512,10.11,4.6,31.9,12.5,7.26,425,1.22,39.6,115
2025-03-31,W-01,18.44719,73.61512,10.06,2.3,33.9,12.9,7.26,429,1.23,40.6,120
2025-04-07,W-01,18.44719,73.61512,9.87,2.3,31.9,6.7,7.25,428,1.24,39.9,121
2025-04-14,W-01,18.44719,73.61512,9.73,2.2,33.5,10,7.24,424,1.25,40.2,121
2025-04-21,W-01,18.44719,73.61512,9.77,1.6,30.1,11,7.23,430,1.23,39.2,119
2025-04-28,W-01,18.44719,73.61512,9.65,6,30.7,11.6,7.22,439,1.24,38.9,119
2025-05-05,W-01,18.44719,73.61512,9.59,3.7,36.4,7.4,7.22,431,1.22,39.1,123
2025-05-12,W-01,18.44719,73.61512,9.48,7.9,30.7,14,7.21,424,1.19,38.9,119
2025-05-19,W-01,18.44719,73.61512,9.41,7.3,37.3,9,7.2,422,1.21,38.5,119
2025-05-26,W-01,18.44719,73.61512,9.39,7.9,36.5,15.6,7.21,428,1.23,38.1,117
2025-06-02,W-01,18.44719,73.61512,9.61,164.1,25.7,69.3,7.2,421,1.24,37.8,120
